Iteration,Address,Gas Used,Cost (ETH),Latency (s),User Index,Batch Size
1,0x591F3084a57F796082906B8a42512A24b42dC76A,43464,0.00006519600065196,9.410,1,1
1,0xf9858762714E5Df6e8F40bb31c6d9dEB5015a687,43464,0.00006519600065196,9.675,2,1
1,0x0abD193402016637939921aDd5B177Ecce861b4C,43464,0.00006519600065196,9.333,3,1
1,0xb9754918254D0Bb2ea35498C5064Ac713ECb0292,43464,0.00006519600065196,9.742,4,1
1,0xF838d9E41ca547086b414D37dC18370C1d9E4a02,43464,0.00006519600065196,9.738,5,1
1,0x2D4F7339377D8Ee4fF5f3396A6D643b43625dAA8,43464,0.00006519600065196,9.825,6,1
1,0x4E88d374D3A17F76f66EF05B8A310BE67f7ACa55,43464,0.00006519600065196,9.495,7,1
1,0x14c1Cf5410e9981c2f21632BfA12B0AEa7012610,43464,0.00006519600065196,9.646,8,1
1,0xd19C22BE013954fcFAb1aaFFEd4e684363C625a7,43464,0.00006519600065196,9.425,9,1
1,0xdB378e3eC4e55E10d64AD9E66da37FA5DfD94F89,43464,0.00006519600065196,10.030,10,1
1,0xFC3d766b4274FE65458F8A0Ec156064694DD3a23,43464,0.00006519600065196,9.780,11,1
1,0xCedDacF97f637530aF68B2Fa22dE18333cffFF2a,43464,0.00006519600065196,10.061,12,1
1,0xACB1c1Fd40730db25BdB8Ad7F4723F7F18C45760,43464,0.00006519600065196,9.058,13,1
1,0xC419c4c288da14f7F64a617c015A22A356534351,43464,0.00006519600065196,10.192,14,1
1,0xBBa08CCc84c60783bD6B43acf74D5c40Dd9122A4,43464,0.00006519600065196,9.012,15,1
1,0xE1B847DB0A9105Aba4f9F7EC8de0c02629EEdB67,43464,0.00006519600065196,9.433,16,1
1,0x16F3E0472ddE05A3054568C68122Aab714119E58,43464,0.00006519600065196,9.397,17,1
1,0x56843cb1fd90213f09aE8EC98D27B7abc8621cDc,43464,0.00006519600065196,9.055,18,1
1,0x69BfeEfC77E1a28A742414370F65e43bb1b23EFF,43464,0.00006519600065196,9.330,19,1
1,0x3c2A9546ee55909a28F55f2ecABd449d26700CE2,43464,0.00006519600065196,9.471,20,1
1,0x22183A64a42E7d24445673621C2504A356B58BfF,43464,0.00006519600065196,9.175,21,1
1,0x4a6280c619aB9DaD26C8a085b108EA9D41bA364B,43464,0.00006519600065196,6.291,22,1
1,0x8F863BFfaA7a8652252b98bFEad1BEB68DAd5eb3,43464,0.00006519600065196,9.600,23,1
1,0x1621F5a14a1627ef15Ec565ab95b50aa1a43b89C,43464,0.00006519600065196,9.631,24,1
1,0xa32007424B8382489EbfB2beb3dE6937689479e8,43464,0.00006519600065196,9.062,25,1
1,0xAE906d2a383fC49Fc3EDEf386D7c5E14Ff25A716,43464,0.00006519600065196,9.074,26,1
1,0xE94A59ae4FFbC94b0fbFCEde04745b85eA37Ec8e,43464,0.00006519600065196,9.238,27,1
1,0x9A880e5A12Bcc313897f67568450890870983b7d,43464,0.00006519600065196,10.893,28,1
1,0x4Bf75Eb43741A99f79dC0777bA3AD09Cc9aC729b,43464,0.00006519600065196,9.865,29,1
1,0xEb1B9e368E2458E658DB3B01eeb49Ebb394498a2,43464,0.00006519600065196,6.552,30,1
1,0xb7db1Fc0410D0c669276d9BfF5a26802e582F7EB,43464,0.00006519600065196,9.032,31,1
1,0x807070454F4B9c3410722dD830024c37158ec3E4,43464,0.00006519600065196,9.179,32,1
1,0xB3c9d2FE62f8769F902bFDF1DC0b61461a607a03,43464,0.00006519600065196,9.477,33,1
1,0x1C5e8e278c7e0Ad646b1a949Afb2Eb3D53C5230d,43464,0.00006519600065196,10.498,34,1
1,0x33342ebEbE2e2cFB93f56596342F2E8E06D27804,43464,0.00006519600065196,9.683,35,1
1,0x90384503875dfCc0f5024b51bc88834F79a39d65,43464,0.00006519600065196,9.089,36,1
1,0x702BFb0d7c58c240cA26B5c05904785AE55da220,43464,0.00006519600065196,9.901,37,1
1,0x07a5AEd9E7995aBEe662a72979F84D7eA63b67c3,43464,0.00006519600065196,9.388,38,1
1,0x617B1B27019EEA09BFBABD4D98d22C745BE0BAaf,43464,0.00006519600065196,9.400,39,1
1,0xA0811d623eA618762b004305C6ea3d44ED510dE8,43464,0.00006519600065196,9.086,40,1
1,0x7f8D6f89EdBB3AEb6bE249bF89D161ADd93a96Fe,43464,0.00006519600065196,6.216,41,1
1,0x492A26f80e70152265ccb889840a60F6BfCA6Acf,43464,0.00006519600065196,8.950,42,1
1,0x30Bb26B79A7a4612b103d06C6DB0fe04c010ddAF,43464,0.00006519600065196,9.169,43,1
1,0x77D524474BDA422B3B440f6c88C47432dE623877,43464,0.00006519600065196,9.906,44,1
1,0x98A1C8460099d6e9eEb646763Bf80D8457444172,43464,0.00006519600065196,9.507,45,1
1,0x1BC65309b0128629cD92B97D0d5064e7E46F5dad,43464,0.00006519600065196,10.037,46,1
1,0x23Da35F8391894EDE03f47dcCB9573F4755d1A2F,43464,0.00006519600065196,9.173,47,1
1,0x29E1c9727dAD9f7756CD99Db38c1fbDC02d5377a,43464,0.00006519600065196,9.522,48,1
1,0x31E6EaaF0Fcc3A514A1a3C7402d0a7872EB94Fd2,43464,0.00006519600065196,9.345,49,1
